lineItem/referenceNo,lineItem/tenantId,lineItem/intervalUsageStart,lineItem/intervalUsageEnd,product/service,product/resource,product/compartmentId,product/compartmentName,product/region,product/availabilityDomain,product/resourceId,usage/consumedQuantity,usage/billedQuantity,usage/consumedQuantityUnits,usage/consumedQuantityMeasure,lineItem/isCorrection,lineItem/backreferenceNo,tags/Oracle-Tags.CreatedBy,tags/Oracle-Tags.CreatedOn,tags/orcl-cloud.free-tier-retained
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+kpYkZeMUTDEeKNFFsolK==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T00:00Z,2022-02-10T01:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+JWJSjQTFPAWExJHraVtv==,default/laurenrivas@yahoo.com,,
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+PlpROgSAFsauFygqrUTS==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T01:00Z,2022-02-10T02:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+AEkHHLLPmIgsDFAxnKsq==,default/laurenrivas@yahoo.com,2022-02-10T01:29:10.000Z,
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+xjnWXtjEinqSBQicGGaW==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T02:00Z,2022-02-10T03:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+YOSGtBMVOQUAszxevfuG==,default/laurenrivas@yahoo.com,2022-02-10T03:06:49.000Z,
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+NwPcsaaSzoiNGAinlaQu==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T03:00Z,2022-02-10T04:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+RMPppgpIOmktGXtyHAnH==,default/laurenrivas@yahoo.com,2022-02-10T04:14:17.000Z,true
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+DRpQVwSRCcVWnEWUHMIc==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T04:00Z,2022-02-10T05:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+dqnTlEjxOOxCXonrKvpR==,default/laurenrivas@yahoo.com,2022-02-10T04:45:02.000Z,true
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+brhdkRAoTjigKAmTqvom==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T05:00Z,2022-02-10T06:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+UQGMDLtNJWrLlVltkcvH==,default/laurenrivas@yahoo.com,2022-02-10T06:01:09.000Z,
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+HFbVBQOuvoWAHTumYCaZ==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T06:00Z,2022-02-10T07:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+LwdKeKzVUQxIhcjnInUJ==,default/laurenrivas@yahoo.com,2022-02-10T06:47:18.000Z,true
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+CzhNgTGrvTwWNobddETy==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T07:00Z,2022-02-10T08:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+gsWJvhfwXYYmuPPsxtVv==,default/laurenrivas@yahoo.com,2022-02-10T08:03:39.000Z,true
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+CsaNcRcWRgerpYDVPKpL==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T08:00Z,2022-02-10T09:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+ZkSvuQbKpCUNEYvMZVJw==,default/laurenrivas@yahoo.com,2022-02-10T09:21:31.000Z,
V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+pdcauBOEIihcVmGcFEuH==,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,2022-02-10T09:00Z,2022-02-10T10:00Z,COMPUTE,PIC_COMPUTE_VM_STANDARD_E2_MICRO_FREE,ocid1.tenancy.oc1..JbumavtzqLQrOaxiLVAyBixKekLOPC,laurenrivas,eu-zurich-1,yQnD:EU-ZURICH-1-AD-1,ocid1.instance.oci.eu-zurich-1.yfusFdmPSXvAgKuolhQZMEMPuKGywV,807281554,655380202,GB_MS,STORAGE_SIZE,true,V2.mYdhsnfgIirIYrzhNgQMcXehoCcRkTKrbJqnGLWf+svqzZoPUCtFChNAZIRIC==,default/laurenrivas@yahoo.com,2022-02-10T09:41:05.000Z,
