lineItem/referenceNo,lineItem/tenantId,lineItem/intervalUsageStart,lineItem/intervalUsageEnd,product/service,product/compartmentId,product/compartmentName,product/region,product/availabilityDomain,product/resourceId,usage/billedQuantity,usage/billedQuantityOverage,cost/subscriptionId,cost/productSku,product/Description,cost/unitPrice,cost/unitPriceOverage,cost/myCost,cost/myCostOverage,cost/currencyCode,cost/billingUnitReadable,cost/skuUnitDescription,cost/overageFlag,lineItem/isCorrection,lineItem/backreferenceNo,tags/Oracle-Tags.CreatedBy,tags/Oracle-Tags.CreatedOn,tags/orcl-cloud.free-tier-retained
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+cYzdQhoIjWGWAPFWOeRB==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T00:00Z,2022-02-10T01:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+lsLTBUAGAIkSXLTTHFqf==,default/aaronthomas@gmail.com,,true
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+xZQJmfrVnZVDeryxOExa==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T01:00Z,2022-02-10T02:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+SCDrEJxKvUJRvatYvoIe==,default/aaronthomas@gmail.com,,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+LgCXXXAmsJjzfKDmVcgo==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T02:00Z,2022-02-10T03:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+ITNuqTwqRIxjhHfayDmh==,default/aaronthomas@gmail.com,,true
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+vaVyFNaPQgpkBRcqLhob==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T03:00Z,2022-02-10T04:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+OrWwXAbxUCJeblAqeSAQ==,default/aaronthomas@gmail.com,2022-02-10T03:47:36.000Z,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+nxjcKLOLxSOAdOgQtjbB==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T04:00Z,2022-02-10T05:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+wgedzikgEggzFyYoFXMO==,default/aaronthomas@gmail.com,2022-02-10T05:09:28.000Z,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+aCFZwvgmdPggORUkZHDp==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T05:00Z,2022-02-10T06:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+FCdhozzJIDdcDjfvEiVD==,default/aaronthomas@gmail.com,,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+jkEawhMEAAjBYSTdJULb==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T06:00Z,2022-02-10T07:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+rWxXmmekFKDvbSAnbGPN==,default/aaronthomas@gmail.com,2022-02-10T06:23:46.000Z,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+LHXdphXTrETKgCdOyvei==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T07:00Z,2022-02-10T08:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+bofJFZaygPHImQOPOdBY==,default/aaronthomas@gmail.com,2022-02-10T08:27:32.000Z,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+YBqqkNqaxJhxPogbkMcl==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T08:00Z,2022-02-10T09:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+FZNLsmKrbREwduAdfEQG==,default/aaronthomas@gmail.com,,
V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+KectnvPsZrtDFgflyazL==,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,2022-02-10T09:00Z,2022-02-10T10:00Z,COMPUTE,ocid1.tenancy.oc1..XRvHfzOmAcQuAvVjruXuecCKa,aaronthomas,il-jerusalem-1,ghUo:IL-JERUSALEM-1-AD-1,ocid1.instance.oci.il-jerusalem-1.bcReRkOVByrIrRTOzHnNYKJNVWqG,1,,23465677,B78565,Virtual Machine Standard - E2 Micro - Free,,,0,,USD,ONE HOURS OCPUS,OCPU Hours,,true,V2.FrSYVQsGfcjbsPFKtBxIZTAemXDwhZ+YzHQCiVhNcBJlsMqQaJu==,default/aaronthomas@gmail.com,2022-02-10T09:32:01.000Z,
